benchmark,dp_hours,trial,phase1_hours,phase2_hours,total_hours,start_edges_after_10m,phase1_final_edges,final_edges,edges_at_14h,edge_total,phase1_edge_gain,phase2_edge_gain,total_edge_gain,phase2_edge_gain_per_hour,total_edge_gain_per_hour,phase1_final_data,phase1_data_gain,phase1_data_gain_per_hour,phase1_data_last_hour_rate,phase1_edge_last_hour_rate,phase1_final_corpus,phase1_corpus_gain,phase1_corpus_gain_per_hour,phase1_corpus_last_hour_rate,final_corpus,final_data
harfbuzz,6,2,5.994722222222222,11.996944444444443,17.991666666666667,4377,4670,4758,4748,9735,293,88,381,7.335201092870871,21.374474053295934,46598,12197,2092.8077784662314,673.0,29.0,17346,8107,1391.0299795052667,393.0,3643,26274
harfbuzz,6,3,5.999444444444444,11.998333333333333,17.997777777777777,4365,4649,4778,4766,9735,284,129,413,10.751493262953188,23.161764705882355,46096,11229,1925.154776645395,479.0,21.0,17345,7878,1350.6429183731784,380.0,3514,25584
harfbuzz,6,4,5.9991666666666665,11.99861111111111,17.997777777777777,4374,4658,4790,4779,9735,284,132,416,11.001273295520315,23.330009970089733,46565,12500,2143.163309044149,328.0,10.0,17295,8529,1462.323189027004,216.0,3533,25887
harfbuzz,6,5,5.998888888888889,11.995833333333332,17.994722222222222,4379,4651,4771,4759,9735,272,120,392,10.003473428273708,21.987815708698836,46551,12421,2129.719946656506,509.0,22.0,17185,8128,1393.6368832158507,446.0,3579,25876
harfbuzz,6,6,5.999722222222222,11.998888888888889,17.99861111111111,4378,4639,4783,4752,9735,261,144,405,12.001111214001297,22.712049225017527,46711,11823,2026.8965188818515,380.0,6.0,17339,8145,1396.3522072479643,303.0,3559,26319
harfbuzz,6,7,5.996666666666667,11.997499999999999,17.994166666666665,4360,4648,4767,4748,9735,288,119,407,9.918733069389457,22.829897630065915,46033,12639,2167.9245283018868,769.0,13.0,16659,8149,1397.7701543739279,495.0,3532,25867
harfbuzz,6,8,5.994166666666667,11.997222222222222,17.99138888888889,4369,4663,4777,4769,9735,294,114,408,9.50219958323686,22.889557262852783,47074,14651,2514.1141141141143,495.0,10.0,17515,9444,1620.5920205920206,392.0,3638,26326
harfbuzz,6,9,5.995555555555556,11.997777777777777,17.993333333333332,4361,4645,4777,4765,9735,284,132,416,11.00203741433599,23.335826477187737,45417,10833,1858.5017155928326,829.0,16.0,15982,6784,1163.8581776591689,575.0,3628,26357
harfbuzz,24,1,23.995833333333334,11.997222222222222,35.99305555555556,4367,4719,4786,4681,9735,352,67,419,5.584626070849734,11.695289784842023,49226,14471,607.280993180626,201.0,1.0,18831,9453,396.69872355306876,75.0,3279,27106
harfbuzz,24,2,23.994722222222222,11.998333333333333,35.99305555555556,4370,4736,4772,4712,9735,366,36,402,3.000416724545076,11.22077922077922,50557,17671,741.6047842762383,116.0,0.0,19438,11531,483.9253447733181,122.0,3177,28314
